Permissive,Description,Logic
M7172C_FwdPerm.Inp_Perm01,,
M7172C_FwdPerm.Inp_Perm02,,
M7172C_FwdPerm.Inp_Perm03,,
M7172C_FwdPerm.Inp_Perm04,,
M7172C_FwdPerm.Inp_Perm05,,
M7172C_FwdPerm.Inp_Perm06,,
M7172C_FwdPerm.Inp_Perm07,,
M7172C_FwdPerm.Inp_Perm08,,
M7172C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7172_Sts) OTE(M7172C_RevPerm.Inp_Perm00) 
M7172C_RevPerm.Inp_Perm01,,
M7172C_RevPerm.Inp_Perm02,,
M7172C_RevPerm.Inp_Perm03,,
M7172C_RevPerm.Inp_Perm04,,
M7172C_RevPerm.Inp_Perm05,,
M7172C_RevPerm.Inp_Perm06,,
M7172C_RevPerm.Inp_Perm07,,
M7172C_RevPerm.Inp_Perm08,,
M7173B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7173_Sts) OTE(M7173B_FwdPerm.Inp_Perm00) 
M7173B_FwdPerm.Inp_Perm01,,
M7173B_FwdPerm.Inp_Perm02,,
M7173B_FwdPerm.Inp_Perm03,,
M7173B_FwdPerm.Inp_Perm04,,
M7173B_FwdPerm.Inp_Perm05,,
M7173B_FwdPerm.Inp_Perm06,,
M7173B_FwdPerm.Inp_Perm07,,
M7173B_FwdPerm.Inp_Perm08,,
M7173B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7173_Sts) OTE(M7173B_RevPerm.Inp_Perm00) 
M7173B_RevPerm.Inp_Perm01,,
M7173B_RevPerm.Inp_Perm02,,
M7173B_RevPerm.Inp_Perm03,,
M7173B_RevPerm.Inp_Perm04,,
M7173B_RevPerm.Inp_Perm05,,
M7173B_RevPerm.Inp_Perm06,,
M7173B_RevPerm.Inp_Perm07,,
M7173B_RevPerm.Inp_Perm08,,
M7177C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7177_Sts) OTE(M7177C_FwdPerm.Inp_Perm00) 
M7177C_FwdPerm.Inp_Perm01,,
M7177C_FwdPerm.Inp_Perm02,,
M7177C_FwdPerm.Inp_Perm03,,
M7177C_FwdPerm.Inp_Perm04,,
M7177C_FwdPerm.Inp_Perm05,,
M7177C_FwdPerm.Inp_Perm06,,
M7177C_FwdPerm.Inp_Perm07,,
M7177C_FwdPerm.Inp_Perm08,,
M7177C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7177_Sts) OTE(M7177C_RevPerm.Inp_Perm00) 
M7177C_RevPerm.Inp_Perm01,,
M7177C_RevPerm.Inp_Perm02,,
M7177C_RevPerm.Inp_Perm03,,
M7177C_RevPerm.Inp_Perm04,,
M7177C_RevPerm.Inp_Perm05,,
M7177C_RevPerm.Inp_Perm06,,
M7177C_RevPerm.Inp_Perm07,,
M7177C_RevPerm.Inp_Perm08,,
M7178B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7178_Sts) OTE(M7178B_FwdPerm.Inp_Perm00) 
M7178B_FwdPerm.Inp_Perm01,,
M7178B_FwdPerm.Inp_Perm02,,
M7178B_FwdPerm.Inp_Perm03,,
M7178B_FwdPerm.Inp_Perm04,,
M7178B_FwdPerm.Inp_Perm05,,
M7178B_FwdPerm.Inp_Perm06,,
M7178B_FwdPerm.Inp_Perm07,,
M7178B_FwdPerm.Inp_Perm08,,
