[Numeric.0.0],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Value,Extent,Manipulate,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Alias,Desc,Class,FormType,LimitMin,LimitMax,LimitType,Deadband,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
RejectCount_96mm,[Sorter.404296.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_97mm,[Sorter.404298.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_98mm,[Sorter.404300.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_99mm,[Sorter.404302.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_100mm,[Sorter.404304.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_101mm,[Sorter.404306.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_4Inch,RejectCount_77mm+RejectCount_78mm+RejectCount_79mm+RejectCount_80mm+RejectCount_81mm+RejectCount_82mm+RejectCount_83mm+RejectCount_84mm+RejectCount_85mm+RejectCount_86mm+RejectCount_87mm+RejectCount_88mm+RejectCount_89mm+RejectCount_90mm+RejectCount_91mm+RejectCount_92mm+RejectCount_93mm+RejectCount_94mm+RejectCount_95mm+RejectCount_96mm+RejectCount_97mm+RejectCount_98mm+RejectCount_99mm+RejectCount_100mm+RejectCount_101mm,,None,,,,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_102mm,[Sorter.404308.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_103mm,[Sorter.404310.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_104mm,[Sorter.404312.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
